"plot_name"	"MAT_wc"	"MAT_pred"	"MinT_wc"	"MinT_pred"	"MaxT_wc"	"MaxT_pred"	"MAP_wc"	"MAP_pred"	"wbalann_wc"	"wbalann_pred"	"winterlen_wc"	"winterlen_pred"	"NA"	"NA"
"143"	"HTH1"	112	137.227161700048	-74	-21.4577430385931	329	313.837078651685	145	216.846604787494	-542.179576828681	-442.355826618058	3	2.02247191011236	34	41.4301416707376
"144"	"HTH2"	112	132.681240840254	-74	-38.780654616512	329	334.483146067416	145	194.115779189057	-542.179576828681	-540.295832633886	3	2.01660967269174	34	33.1871030776746
"145"	"FAIR1"	134	132.821201758671	-51	36.7396189545676	324	315.939423546654	298	313.80263800684	-453.627785653355	-466.478266409951	2	2.0371275036639	137	138.837322911578
"146"	"FAIR2"	134	130.849047386419	-51	35.057156814851	324	314.585246702492	298	305.311187103077	-453.627785653355	-453.129051644353	2	2.04298974108452	137	105.85784074255
"147"	"CVC1"	114	115.547630679042	-86	-81.9127992183683	339	315.455788959453	210	256.662921348315	-510.410587116614	-446.87613458802	4	3.91011235955057	58	66.5361504640938
"148"	"CVC11"	106	118.195896433806	-89	-80.5002442598925	326	312.360527601368	232	250.639472398633	-454.038020223322	-446.876134588019	5	3.9599413776258	64	53.8517342452369
"149"	"CVC2"	114	114.83463605276	-86	-79.8575964826576	339	317.873961895457	210	249.434782608696	-510.410587116614	-480.025059701069	4	3.83097215437226	58	66.5361504640938
"150"	"CVC21"	112	117.788470933073	-87	-83.4411333659014	336	334.801172447485	218	244.61602344895	-491.442512190129	-472.491213084467	4	3.89545676599902	60	67.3817782120176
"151"	"CVC22A"	112	115.44577430386	-87	-81.6765999022961	336	319.80850024426	218	241.00195407914	-491.442512190129	-463.450597144544	4	3.95407914020518	60	61.885197850513
"152"	"CVC3"	114	123.492427943332	-86	-50.6443575964826	339	334.801172447484	210	227.750366389839	-510.410587116614	-502.626599550875	4	2.16609672691744	58	55.5429897410845
"153"	"CVC4A"	114	116.769907181241	-86	-84.7020029311187	339	325.612115290669	210	239.797264289204	-510.410587116614	-436.328749324776	4	3.94528578407426	58	67.8045920859795
